size,time_ms
1000,0.008986
1000000,64.599681
10,0.000125
10000,0.093500
10000,0.511639
1000000,16.734583
10000,0.093875
100,0.001125
1000,0.038444
1000,0.008931
100000,6.103306
100,0.001125
100000,1.033972
1000000,11.812695
100,0.002444
10,0.000125
10,0.000111
100000,0.988792
