size,time_ms
1000,0.073917
1000000,109.764500
10,0.001430
10000,0.741417
10000,0.993319
1000000,91.894042
10000,0.812750
100,0.008333
1000,0.096195
1000,0.073458
100000,10.915014
100,0.008306
100000,7.726153
1000000,91.151055
100,0.009292
10,0.000722
10,0.000722
100000,7.987875
