size,time_ms
1000,0.027056
1000000,87.858472
10,0.000195
10000,0.381347
10000,0.462764
1000000,78.109278
10000,0.416194
100,0.002917
1000,0.036167
1000,0.029430
100000,6.747042
100,0.002528
100000,5.157986
1000000,70.460333
100,0.003527
10,0.000153
10,0.000180
100000,5.605375
